Name,Price,Category,Color,,Size,Rating,Reviews,URL,Image URL,Product Number
PO_NG 포엥,259000,흔들의자, 블랙브라운/글로세 에그쉘,블랙,No Size,4,3,https://www.ikea.com/kr/ko/p/poaeng-rocking-chair-black-brown-glose-eggshell-s39429326/,https://www.ikea.com/kr/ko/images/products/poaeng-rocking-chair-black-brown-glose-eggshell__0153101_pe311392_s5.jpg?f=s,39429326
PO_NG 포엥,259000,흔들의자, 자작나무/글로세 다크브라운,우드,No Size,5,1,https://www.ikea.com/kr/ko/p/poaeng-rocking-chair-birch-glose-dark-brown-s39429331/,https://www.ikea.com/kr/ko/images/products/poaeng-rocking-chair-birch-glose-dark-brown__0093941_pe231550_s5.jpg?f=s,39429331
NORDEN 노르덴 / TERJE 테리에,398600,테이블+의자4, 접이식 자작나무/블랙,블랙,26/89/152 cm,No Review,No Review,https://www.ikea.com/kr/ko/p/norden-terje-table-and-4-chairs-foldable-birch-black-s39442549/,https://www.ikea.com/kr/ko/images/products/norden-terje-table-and-4-chairs-foldable-birch-black__1050992_pe844946_s5.jpg?f=s,39442549
NORDEN 노르덴 / TERJE 테리에,458600,테이블+의자4, 접이식 자작나무/크니사 블랙,블랙,26/89/152 cm,No Review,No Review,https://www.ikea.com/kr/ko/p/norden-terje-table-and-4-chairs-foldable-birch-knisa-black-s39442605/,https://www.ikea.com/kr/ko/images/products/norden-terje-table-and-4-chairs-foldable-birch-knisa-black__1050994_pe844947_s5.jpg?f=s,39442605
LANEBERG 라네베리 / EKEDALEN 에케달렌,528600,테이블+의자4, 브라운블랙 다크브라운/오르스타 라이트그레이,블랙,130/190x80 cm,5,1,https://www.ikea.com/kr/ko/p/laneberg-ekedalen-table-and-4-chairs-brown-black-dark-brown-orrsta-light-grey-s39482955/,https://www.ikea.com/kr/ko/images/products/laneberg-ekedalen-table-and-4-chairs-brown-black-dark-brown-orrsta-light-grey__1097710_pe865094_s5.jpg?f=s,39482955
LANEBERG 라네베리 / INGOLF 잉올프,528600,테이블+의자4, 브라운/브라운블랙,0,130/190x80 cm,5,1,https://www.ikea.com/kr/ko/p/laneberg-ingolf-table-and-4-chairs-brown-brown-black-s39482960/,https://www.ikea.com/kr/ko/images/products/laneberg-ingolf-table-and-4-chairs-brown-brown-black__1097712_pe865096_s5.jpg?f=s,39482960
EKEDALEN 에케달렌 / ODGER 오드게르,898400,테이블+의자6, 참나무/앤트러싸이트,우드,120/180 cm,No Review,No Review,https://www.ikea.com/kr/ko/p/ekedalen-odger-table-and-6-chairs-oak-anthracite-s39483021/,https://www.ikea.com/kr/ko/images/products/ekedalen-odger-table-and-6-chairs-oak-anthracite__1097897_pe865175_s5.jpg?f=s,39483021
GAMLARED 감라레드 / INGOLF 잉올프,258800,테이블+의자2, 라이트 앤티크 스테인/브라운블랙,블랙,85 cm,No Review,No Review,https://www.ikea.com/kr/ko/p/gamlared-ingolf-table-and-2-chairs-light-antique-stain-brown-black-s39483059/,https://www.ikea.com/kr/ko/images/products/gamlared-ingolf-table-and-2-chairs-light-antique-stain-brown-black__1115464_pe872098_s5.jpg?f=s,39483059
PO_NG 포엥,338900,암체어+풋스툴, 자작나무무늬목/글로세 다크브라운,우드,No Size,No Review,No Review,https://www.ikea.com/kr/ko/p/poaeng-armchair-and-footstool-birch-veneer-glose-dark-brown-s39484313/,https://www.ikea.com/kr/ko/images/products/poaeng-armchair-and-footstool-birch-veneer-glose-dark-brown__55437_pe160523_s5.jpg?f=s,39484313
F_RL_V 펠뢰브,399000,3인용소파커버, 유파르프 다크그레이,0,No Size,3,1,https://www.ikea.com/kr/ko/p/faerloev-cover-for-3-seat-sofa-djuparp-dark-grey-40306715/,https://www.ikea.com/kr/ko/images/products/faerloev-cover-for-3-seat-sofa-djuparp-dark-grey__0479738_pe619085_s5.jpg?f=s,40306715
