Name,Price,Category,Color,Size,Rating,Reviews,URL,Image URL,Product Number
IDÅSEN 이도센,"369,000",책상, 블랙/베이지,160x80 cm,5,8,https://www.ikea.com/kr/ko/p/idasen-desk-black-beige-s09281034/,https://www.ikea.com/kr/ko/images/products/idasen-desk-black-beige__0736569_pe740623_s5.jpg?f=s,09281034
IDÅSEN 이도센,"369,000",책상, 블랙/다크그레이,160x80 cm,5,8,https://www.ikea.com/kr/ko/p/idasen-desk-black-dark-grey-s39281037/,https://www.ikea.com/kr/ko/images/products/idasen-desk-black-dark-grey__0736570_pe740624_s5.jpg?f=s,39281037
KLIPSK 클립스크,"14,900",침대트레이, 그레이,No Size,4.1,57,https://www.ikea.com/kr/ko/p/klipsk-bed-tray-grey-50330550/,https://www.ikea.com/kr/ko/images/products/klipsk-bed-tray-grey__0504717_pe633471_s5.jpg?f=s,50330550
KULLEN 쿨렌,"39,900",2칸 서랍장, 블랙브라운,35x49 cm,4.1,33,https://www.ikea.com/kr/ko/p/kullen-chest-of-2-drawers-black-brown-30355706/,https://www.ikea.com/kr/ko/images/products/kullen-chest-of-2-drawers-black-brown__0651177_pe706789_s5.jpg?f=s,30355706
LERHAMN 레르함,"169,700",테이블+의자2, 라이트 앤티크 스테인 화이트 스테인/비타뤼드 베이지,74x74 cm,4.4,5,https://www.ikea.com/kr/ko/p/lerhamn-table-and-2-chairs-light-antique-stain-white-stain-vittaryd-beige-s99306290/,https://www.ikea.com/kr/ko/images/products/lerhamn-table-and-2-chairs-light-antique-stain-white-stain-vittaryd-beige__0247204_pe386034_s5.jpg?f=s,99306290
LERHAMN 레르함 / NORDMYRA 노르드뮈라,"189,700",테이블+의자2, 라이트 앤티크 스테인 화이트 스테인/화이트 자작나무,74x74 cm,4.4,5,https://www.ikea.com/kr/ko/p/lerhamn-nordmyra-table-and-2-chairs-light-antique-stain-white-stain-white-birch-s59482983/,https://www.ikea.com/kr/ko/images/products/lerhamn-nordmyra-table-and-2-chairs-light-antique-stain-white-stain-white-birch__1097878_pe865158_s5.jpg?f=s,59482983
LERHAMN 레르함 / INGOLF 잉올프,"229,700",테이블+의자2, 라이트 앤티크 스테인 화이트 스테인/화이트,74x74 cm,4.4,5,https://www.ikea.com/kr/ko/p/lerhamn-ingolf-table-and-2-chairs-light-antique-stain-white-stain-white-s39482979/,https://www.ikea.com/kr/ko/images/products/lerhamn-ingolf-table-and-2-chairs-light-antique-stain-white-stain-white__1097876_pe865156_s5.jpg?f=s,39482979
HAUGA 하우가,"129,000",책상, 베이지,100x45 cm,4.9,7,https://www.ikea.com/kr/ko/p/hauga-desk-beige-30477675/,https://www.ikea.com/kr/ko/images/products/hauga-desk-beige__0955765_pe804101_s5.jpg?f=s,30477675
LAGKAPTEN 락캅텐 / OLOV 올로브,"134,000",책상, 화이트,200x60 cm,No Review,No Review,https://www.ikea.com/kr/ko/p/lagkapten-olov-desk-white-s39417583/,https://www.ikea.com/kr/ko/images/products/lagkapten-olov-desk-white__0976156_pe813049_s5.jpg?f=s,39417583
LAGKAPTEN 락캅텐 / OLOV 올로브,"134,000",책상, 화이트스테인 참나무무늬/블랙,200x60 cm,No Review,No Review,https://www.ikea.com/kr/ko/p/lagkapten-olov-desk-white-stained-oak-effect-black-s59417638/,https://www.ikea.com/kr/ko/images/products/lagkapten-olov-desk-white-stained-oak-effect-black__0976173_pe813066_s5.jpg?f=s,59417638
